# pmichel : Magniture<5, no other restrictions
#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2012-08-17T22:04:08 [V1.91 (20-Jun-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.91 (20-Jun-2012)	
#INFO	-ref=VIZ502eb7e02d25	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:V/109&tab:{V/109/sky2kv4}&key:source=V/109/sky2kv4&HTTPPRM:&-ref=VIZ502eb7e02d25&-file=.&-out.add=_r&-out.add=_RAJ,_DEJ&-oc.form=sexa&-c.r=  2&-c.geom=r&-order=I&-out.form=verb&-out=SKY2000&-out=HD&-out=Name&-out=Vname&-out=RAJ2000&-sort=RAJ2000&-out=DEJ2000&-out=Vmag&Vmag=3&-out=B-V&-out=U-B&-out=Sp&-ignore=Simbad=*&Simbad=Simbad&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-out.max=9999&-out.form=HTML Table&-c.eq=J2000&-c.u=arcmin&&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/109/sky2kv4
#-order=I
#-out=Name
#-out=Vname
#-out=RAJ2000
#-sort=RAJ2000
#-out=DEJ2000
#-out=Vmag
#Vmag=<5
#-out=B-V
#-out=v-mag1
#-out=v-mag2
#Simbad=Simbad
#

#RESOURCE=yCat_5109
#Name: V/109
#Title: SKY2000 Catalog, Version 4 (Myers+ 2002)
#Table	V_109_sky2kv4:
#Name: V/109/sky2kv4
#Title: The Sky2000 Version 4 Catalogue
#Column	Name	(a10)	Star name (or AGK3 number)	[ucd=meta.id]
#Column	Vname	(a10)	Variable star name (or doubtful variability)	[ucd=meta.id]
#Column	RAJ2000	(A13)	Right ascension (J2000) hours	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A13)	Declination degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	?Observed visual magnitude (V or v)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	?B-V color (observed)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	v-mag1	(F6.3)	?v - passband #1 color	[ucd=phot.color]
#Column	v-mag2	(F6.3)	?v - passband #2 color	[ucd=phot.color]
Name;Vname;RAJ2000;DEJ2000;Vmag;B-V;v-mag1;v-mag2
          ;NV    Pup ;07 18 18.3927;-36 44 02.264; 4.710;-0.120; 0.100; 0.050
 29    CMa;UW    CMa ;07 18 40.3790;-24 33 31.324; 4.920;-0.165; 0.000;-0.130
 30tau CMa;tau   CMa ;07 18 42.4809;-24 57 15.707; 4.400;-0.166;-0.030;-0.210
 55del Gem;          ;07 20 07.3776;+21 58 56.354; 3.540; 0.343; 0.311; 0.550
          ;          ;07 22 13.5290;-19 00 59.760; 4.970;-0.055; 0.060; 0.020
 31eta CMa;eta   CMa ;07 24 05.7025;-29 18 11.173; 2.460;-0.048; 0.070; 0.010
  2eps CMi;          ;07 25 38.8970;+09 16 33.950; 4.990; 1.007; 0.718; 1.230
 60iot Gem;          ;07 25 43.5961;+27 47 53.089; 3.790; 1.024; 0.741; 1.270
 21    Lyn;  3585    ;07 26 42.8513;+49 12 41.497; 4.620;-0.005;-0.008;-0.040
  3bet CMi;bet   CMi ;07 27 09.0427;+08 17 21.536; 2.890;-0.075;-0.046;-0.070
  4gam CMi; 17480    ;07 28 09.7944;+08 55 31.908; 4.330; 1.411; 1.087; 1.900
 62rho Gem; 17482    ;07 29 06.7190;+31 47 04.381; 4.180; 0.320; 0.287; 0.510
   sig Pup;sig   Pup ;07 29 13.8303;-43 18 05.157; 3.260; 1.509; 1.210; 2.130
  6    CMi;  3609    ;07 29 47.7828;+12 00 23.631; 4.540; 1.283; 0.895; 1.540
          ; 17491    ;07 29 51.4125;-23 01 27.434; 4.860; 0.223; 0.280; 0.480
          ; 17496    ;07 30 42.6021;-30 57 44.212; 4.640; 0.911; 0.670; 1.140
          ;VZ    Cam ;07 31 04.4638;+82 24 41.277; 4.890; 1.570; 1.661;
          ;KQ    Pup ;07 33 47.9632;-14 31 26.012; 4.960; 1.345; 1.578; 2.880
          ;          ;07 34 03.1805;-22 17 45.841; 4.450; 0.518; 0.510; 0.780
 66alp Gem;          ;07 34 35.8628;+31 53 17.795; 1.580; 0.034;-0.001; 0.060
 66alp Gem;          ;07 34 36.1004;+31 53 18.571; 2.880; 0.040;-0.001;
          ;          ;07 35 22.8929;-28 22 09.564; 4.650;-0.106;-0.030;-0.140
          ;  3661    ;07 35 39.7227;-52 32 01.810; 4.930; 1.395; 1.070; 1.800
 69ups Gem;  3652    ;07 35 55.3464;+26 53 44.667; 4.070; 1.533; 1.231; 2.150
          ;          ;07 37 22.1103;-34 58 06.709; 4.530;-0.080;-0.020;-0.090
          ;PU    Pup ;07 38 18.0459;-25 21 53.296; 4.690;-0.098; 0.010;-0.080
        36;  3673    ;07 38 49.3781;-26 48 06.495; 4.660;-0.110;-0.040;-0.200
        36;  3673    ;07 38 49.8702;-26 48 13.811; 4.450;-0.170;      ;
 71omi Gem;          ;07 39 09.9309;+34 35 03.646; 4.890; 0.426; 0.367; 0.610
 10alp CMi;  3672    ;07 39 18.1183;+05 13 29.975; 0.400; 0.432; 0.345; 0.650
          ;          ;07 39 27.3381;-38 18 28.876; 4.840;-0.173;-0.080;-0.240
          ;          ;07 40 23.2107;-15 15 50.113; 4.970; 1.552; 1.153; 1.930
 26alp Mon;          ;07 41 14.8324;-09 33 04.071; 3.940; 1.030; 0.739; 1.290
   zet Vol;          ;07 41 49.2612;-72 36 21.953; 3.950; 1.026; 0.790; 1.320
 24    Lyn;          ;07 43 00.4161;+58 42 37.297; 4.960; 0.082; 0.084; 0.220
 75sig Gem;sig   Gem ;07 43 18.7265;+28 53 00.635; 4.250; 1.116; 0.847; 1.500
  1    Pup;  3708    ;07 43 32.3866;-28 24 39.185; 4.610; 1.626; 1.300; 2.270
  3    Pup; 17577    ;07 43 48.4691;-28 57 17.373; 3.980; 0.150; 0.270; 0.490
 77kap Gem;          ;07 44 26.8542;+24 23 52.773; 3.570; 0.932; 0.675; 1.160
          ;  3723    ;07 45 15.2959;-37 58 06.902; 3.620; 1.690; 1.350; 2.350
 78bet Gem;  3712    ;07 45 18.9504;+28 01 34.315; 1.220; 0.969; 0.715; 1.250
 81    Gem;          ;07 46 07.4472;+18 30 36.157; 4.870; 1.445; 1.143; 1.980
   omi Pup;omi   Pup ;07 48 05.1683;-25 56 13.807; 4.500;-0.095; 0.120; 0.110
          ;          ;07 48 20.1609;-47 04 39.801; 4.690; 1.064; 0.760; 1.330
          ;          ;07 49 14.2951;-46 22 23.539; 4.110;-0.190;-0.080;-0.250
  7xi  Pup; 17618    ;07 49 17.6552;-24 51 35.229; 3.330; 1.227; 0.870; 1.420
          ;          ;07 52 13.0348;-40 34 32.830; 3.720; 1.022; 0.810; 1.370
          ;QZ    Pup ;07 52 38.6462;-38 51 46.124; 4.490;-0.173;-0.080;-0.240
          ; 17652    ;07 53 03.6348;-49 36 46.958; 4.620;-0.213;-0.130;-0.340
          ; 17653    ;07 53 18.1586;-48 06 10.562; 4.250;-0.153;-0.020;-0.140
 83phi Gem;          ;07 53 29.8143;+26 45 56.818; 4.980; 0.101; 0.082; 0.180
   chi Car;chi   Car ;07 56 46.7143;-52 58 56.496; 3.460;-0.162;-0.060;-0.240
 11    Pup;          ;07 56 51.5395;-22 52 48.427; 4.200; 0.714; 0.590; 0.960
          ;  3830    ;07 57 40.1063;-30 20 04.451; 4.790; 0.145; 0.200; 0.350
          ;V     Pup ;07 58 14.4372;-49 14 41.683; 4.470;-0.183;      ;
 27    Mon;          ;07 59 44.1525;-03 40 46.498; 4.940; 1.198; 0.883;
          ;          ;07 59 52.0507;-18 23 57.220; 4.610; 0.085; 0.150; 0.210
          ; 17714    ;08 00 19.9668;-63 34 02.841; 4.810;-0.154;-0.050;-0.250
 28    Mon;V0645 Mon ;08 01 13.3349;-01 23 33.390; 4.680; 1.481; 1.129; 2.000
          ; 17713    ;08 02 15.9369;+02 20 04.454; 4.390; 1.259; 0.934; 1.660
   chi Gem;          ;08 03 31.0803;+27 47 39.596; 4.940; 1.139; 0.819;
   zet Pup;zet   Pup ;08 03 35.0467;-40 00 11.332; 2.220;-0.203;-0.110;-0.330
 15rho Pup;rho   Pup ;08 07 32.6488;-24 18 15.567; 2.830; 0.458; 0.350; 0.560
   eps Vol;          ;08 07 55.7930;-68 37 01.424; 4.400;-0.119;-0.040;-0.130
 27    Lyn; 17738    ;08 08 27.4472;+51 30 24.014; 4.800; 0.030; 0.021; 0.110
 29zet Mon;          ;08 08 35.6479;-02 59 01.629; 4.360; 0.966; 0.689; 1.190
          ;          ;08 09 00.6700;-61 18 08.746; 4.750; 0.437; 0.410; 0.660
 16    Pup;          ;08 09 01.6373;-19 14 42.051; 4.400;-0.148;-0.030;-0.170
   gam1Vel;  3930    ;08 09 29.3240;-47 20 43.010; 4.270;-0.230;-0.110;-0.290
   gam2Vel;gam 2 Vel ;08 09 31.9502;-47 20 11.716; 1.790;-0.240;-0.020;-0.150
 19    Pup; 17778    ;08 11 16.3057;-12 55 37.195; 4.720; 0.943; 0.690; 1.210
          ;NS    Pup ;08 11 21.4935;-39 37 06.764; 4.420; 1.601; 1.200; 2.100
          ; 17785    ;08 11 25.8926;-42 59 14.200; 4.760; 0.161; 0.240; 0.460
 20    Pup; 17797    ;08 13 19.9681;-15 47 17.597; 4.990; 1.056; 0.800; 1.300
          ;MX    Pup ;08 13 29.5172;-35 53 58.264; 4.780;-0.133; 0.090; 0.010
          ;          ;08 14 02.9214;-40 20 52.405; 4.430; 1.158; 0.840; 1.480
 17bet Cnc;  3973    ;08 16 30.9206;+09 11 07.961; 3.520; 1.483; 1.089; 1.900
   alp Cha;          ;08 18 31.5500;-76 55 11.001; 4.060; 0.408; 0.390; 0.620
          ;          ;08 18 33.3123;-36 39 33.438; 4.450; 0.226; 0.210; 0.340
   the Cha;          ;08 20 38.5404;-77 29 04.118; 4.340; 1.165; 0.840; 1.410
          ;          ;08 21 23.0265;-33 03 15.718; 4.820; 1.447; 1.000; 1.750
   eps Car;  4058    ;08 22 30.8356;-59 30 34.139; 1.950; 1.195; 1.160; 2.050
          ; 17873    ;08 22 31.6931;-48 29 25.371; 4.830;-0.165;-0.040;-0.170
 31    Lyn;BN    Lyn ;08 22 50.1096;+43 11 17.270; 4.240; 1.551; 1.188; 2.080
          ; 17882    ;08 25 39.6323;-03 54 23.125; 3.890; 0.002;-0.018;-0.020
   bet Vol;  4088    ;08 25 44.1946;-66 08 12.805; 3.770; 1.131; 0.840; 1.400
  1omi UMa;  4093    ;08 30 15.8700;+60 43 05.409; 3.360; 0.847; 0.639; 1.110
          ;          ;08 34 43.5974;-49 56 39.132; 4.980; 1.330; 0.970; 1.650
          ;          ;08 35 19.7086;-58 00 33.206; 4.850; 0.992; 0.760; 1.250
          ;          ;08 37 38.6331;-42 59 20.690; 4.140; 0.106; 0.160; 0.320
  4del Hya;          ;08 37 39.3662;+05 42 13.614; 4.140; 0.019; 0.010; 0.050
  5sig Hya;          ;08 38 45.4377;+03 20 29.167; 4.450; 1.215; 0.838; 1.450
   zet Pyx;  4186    ;08 39 42.4737;-29 33 39.901; 4.880; 0.889;      ;
  6    Hya;          ;08 40 01.4716;-12 28 31.340; 4.970; 1.409; 1.056; 1.800
   bet Pyx;          ;08 40 06.1435;-35 18 30.069; 3.970; 0.921; 0.660; 1.140
  4pi 2UMa;          ;08 40 12.8186;+64 19 40.570; 4.590; 1.180; 0.869; 1.520
          ;omi   Vel ;08 40 17.5854;-52 55 18.794; 3.600;-0.159;-0.060;-0.240
          ;V0343 Car ;08 40 37.0272;-59 45 39.610; 4.330;-0.126;-0.030;-0.160
          ;  4199    ;08 40 37.5699;-46 38 55.480; 3.810; 0.663; 0.650; 1.250
          ;          ;08 41 13.1310;-47 19 01.649; 4.770; 0.119; 0.210; 0.400
  9    Hya;          ;08 41 43.3361;-15 56 36.182; 4.870; 1.060; 0.820; 1.350
          ;HY    Vel ;08 42 25.3862;-53 06 50.343; 4.830;-0.159;-0.050;-0.240
  7eta Hya;eta   Hya ;08 43 13.4752;+03 23 55.184; 4.290;-0.179;-0.126;-0.260
 43gam Cnc;          ;08 43 17.1461;+21 28 06.602; 4.670; 0.021;-0.001; 0.060
   alp Pyx;  4220    ;08 43 35.5375;-33 11 10.988; 3.690;-0.174;-0.080;-0.240
          ;          ;08 43 40.3734;-07 14 01.429; 4.640; 0.820; 0.630; 1.100
          ;          ;08 44 23.9470;-42 38 57.394; 4.060; 0.866; 0.630; 1.130
 47del Cnc;          ;08 44 41.0996;+18 09 15.511; 3.930; 1.088; 0.780; 1.320
   del Vel;delta Vel ;08 44 42.2264;-54 42 31.756; 1.940; 0.086; 0.060; 0.080
          ;          ;08 46 01.6444;-46 02 29.499; 3.900; 0.010; 0.050; 0.180
 12    Hya;          ;08 46 22.5380;-13 32 51.792; 4.320; 0.894; 0.674; 1.140
 48iot Cnc;  4238    ;08 46 41.8205;+28 45 35.634; 4.020; 0.988; 0.702; 1.240
          ;V0344 Car ;08 46 42.5492;-56 46 11.194; 4.500;-0.168;-0.100;-0.280
 11eps Hya;eps   Hya ;08 46 46.5106;+06 25 07.713; 3.400; 0.687; 0.566; 0.990
 13rho Hya;          ;08 48 25.9706;+05 50 16.125; 4.350;-0.018;-0.023;-0.020
          ;          ;08 49 47.6380;-45 18 28.349; 4.950; 0.034;      ;
   gam Pyx;          ;08 50 31.9234;-27 42 35.440; 4.020; 1.270; 0.950; 1.620
          ;          ;08 55 02.8281;-60 38 40.593; 3.840;-0.092;-0.010;-0.120
 16zet Hya;          ;08 55 23.6263;+05 56 44.028; 3.120; 1.001; 0.713; 1.200
   del Pyx;          ;08 55 31.5703;-27 40 54.736; 4.880; 0.131; 0.130; 0.180
          ;          ;08 56 19.2621;-52 43 24.511; 4.710;-0.119;-0.030;-0.170
          ;V0376 Car ;08 56 58.4175;-59 13 45.616; 4.910;-0.173;-0.100;-0.340
 65alp Cnc;  4327    ;08 58 29.2217;+11 51 27.723; 4.260; 0.150; 0.096; 0.170
  9iot UMa;  4329    ;08 59 12.4539;+48 02 30.575; 3.140; 0.214; 0.155; 0.290
          ;  4346    ;09 00 05.4086;-41 15 12.979; 4.460; 0.639; 0.550; 0.960
          ;          ;09 00 38.3707;+41 46 58.480; 3.970; 0.451; 0.376; 0.620
   alp Vol;          ;09 02 26.7959;-66 23 45.876; 4.000; 0.160; 0.120; 0.180
  8rho UMa;  4344    ;09 02 32.6921;+67 37 46.628; 4.770; 1.515; 1.492; 2.730
 12kap UMa;  4357    ;09 03 37.5319;+47 09 23.494; 3.580; 0.004; 0.019; 0.080
          ;          ;09 04 09.2804;-47 05 51.853; 3.750; 1.191; 0.820; 1.420
          ;          ;09 05 08.8139;-72 36 09.739; 4.470; 0.611; 0.540; 0.850
          ;V0345 Car ;09 05 38.3744;-70 32 18.588; 4.670;-0.147;-0.130;-0.270
 18ome Hya;          ;09 05 58.3667;+05 05 32.337; 4.990; 1.226; 0.872; 1.360
          ;          ;09 06 31.7669;+38 27 07.975; 4.560; 1.027; 0.729; 1.230
   lam Vel;lam   Vel ;09 07 59.7585;-43 25 57.322; 2.210; 1.685; 1.240; 2.180
   kap Pyx;  4389    ;09 08 02.8805;-25 51 30.729; 4.610; 1.563; 1.240; 2.140
 15    UMa;          ;09 08 52.2562;+51 36 16.734; 4.460; 0.306; 0.218; 0.380
 13sig2UMa;          ;09 10 23.5455;+67 08 02.465; 4.820; 0.495; 0.430; 0.730
 14tau UMa; 18142    ;09 10 55.0609;+63 30 49.078; 4.640; 0.377; 0.272; 0.450
          ;V0357 Car ;09 10 58.0853;-58 58 00.825; 3.430;-0.173;-0.060;-0.250
          ; 18151    ;09 11 16.7201;-62 19 01.118; 3.960;-0.169;-0.060;-0.240
   bet Car;          ;09 13 11.9755;-69 43 01.948; 1.670; 0.060; 0.060; 0.080
 22the Hya;  4425    ;09 14 21.8590;+02 18 51.409; 3.890;-0.049;-0.046;-0.060
          ;          ;09 15 36.7086;-38 34 11.792; 4.920; 1.101; 0.790; 1.360
          ;          ;09 15 45.0796;-37 24 47.319; 4.630; 0.461; 0.380; 0.660
 18    UMa;DD    UMa ;09 16 11.3276;+54 01 18.687; 4.820; 0.204; 0.161; 0.340
          ;  4440    ;09 16 12.0722;-57 32 29.305; 4.330; 1.629; 1.340; 2.370
   iot Car;  4444    ;09 17 05.4067;-59 16 30.825; 2.250; 0.202; 0.240; 0.440
 38    Lyn;          ;09 18 50.6436;+36 48 09.348; 3.820; 0.066; 0.066; 0.150
 26    Hya;          ;09 19 46.3821;-11 58 29.469; 4.780; 0.927; 0.680; 1.190
 27    Hya;          ;09 20 29.0181;-09 33 20.501; 4.810; 0.928; 0.682; 1.140
          ;          ;09 20 56.8123;-62 24 16.677; 4.800; 0.934; 0.710; 1.250
 40alp Lyn;  4456    ;09 21 03.3013;+34 23 33.223; 3.130; 1.555; 1.220; 2.130
   the Pyx; 18180    ;09 21 29.5908;-25 57 55.580; 4.710; 1.646; 1.400; 2.480
   kap Vel;          ;09 22 06.8183;-55 00 38.405; 2.480;-0.143;-0.050;-0.240
   lam Pyx;          ;09 23 12.2507;-28 50 01.943; 4.720; 0.905; 0.710; 1.180
  1kap Leo;          ;09 24 39.2591;+26 10 56.367; 4.470; 1.233; 0.886; 1.540
          ;          ;09 27 18.4056;-22 20 37.617; 4.730; 1.152; 0.880; 1.440
 30alp Hya;  4496    ;09 27 35.2433;-08 39 30.969; 1.990; 1.453; 1.024; 1.810
 31tau1Hya; 18209    ;09 29 08.8977;-02 46 08.270; 4.920;      ; 0.398; 0.650
   eps Ant;          ;09 29 14.7196;-35 57 04.808; 4.490; 1.436; 1.010; 1.770
   psi Vel;  4513    ;09 30 42.0001;-40 28 00.370; 3.590; 0.357; 0.360; 0.580
          ;N     Vel ;09 31 13.3188;-57 02 03.757; 3.160; 1.541; 1.200; 2.090
 23    UMa;  4506    ;09 31 31.7081;+63 03 42.699; 3.650; 0.346; 0.291; 0.520
  4lam Leo;  4514    ;09 31 43.2281;+22 58 04.694; 4.300; 1.540; 1.194; 2.110
  5xi  Leo;  4518    ;09 31 56.7388;+11 17 59.376; 4.970; 1.053; 0.752; 1.260
 32tau2Hya; 18227    ;09 31 58.9281;-01 11 04.790; 4.550; 0.107; 0.114; 0.220
 25the UMa;  4519    ;09 32 51.4343;+51 40 38.281; 3.180; 0.484; 0.413; 0.710
 10    LMi;SU    LMi ;09 34 13.3819;+36 23 51.208; 4.550; 0.901; 0.668; 1.170
          ;          ;09 34 26.6502;-59 13 47.112; 4.100;-0.019; 0.090; 0.100
 24    UMa;DK    UMa ;09 34 28.8598;+69 49 49.234; 4.560; 0.775; 0.616; 1.070
 26    UMa;          ;09 34 49.4332;+52 03 05.317; 4.480; 0.044; 0.028; 0.100
          ;          ;09 35 03.8300;+39 37 17.376; 4.810; 0.987; 0.739; 1.290
          ;          ;09 36 49.5401;-49 21 18.093; 4.340; 0.178; 0.150; 0.250
          ;          ;09 37 05.2871;+81 19 34.975; 4.260; 1.486; 1.045; 1.870
          ;          ;09 38 27.2883;+04 38 57.454; 4.670; 1.331; 1.001; 1.770
          ;  4577    ;09 39 20.9985;-61 19 41.016; 4.520;-0.057;-0.020;-0.100
 35iot Hya;  4568    ;09 39 51.3619;-01 08 34.117; 3.900; 1.319; 0.963; 1.660
 14omi Leo;          ;09 41 09.0328;+09 53 32.309; 3.530; 0.505; 0.374; 0.640
          ; 18247    ;09 41 17.0074;-23 35 29.451; 4.770;-0.127; 0.010;-0.080
          ;          ;09 42 14.4168;-23 54 56.048; 4.920; 0.535; 0.500; 0.780
   the Ant;          ;09 44 12.0967;-27 46 10.062; 4.790; 0.525; 0.470; 0.790
          ;l     Car ;09 45 14.8113;-62 30 28.451; 3.690; 1.281; 0.350; 0.620
 17eps Leo;  4613    ;09 45 51.0730;+23 46 27.317; 2.970; 0.808; 0.600; 1.060
   ups Car;          ;09 47 06.1216;-65 04 19.224; 3.010; 0.267; 0.340; 0.630
 29ups UMa;ups   UMa ;09 50 59.3578;+59 02 19.448; 3.780; 0.309; 0.265; 0.500
 39ups1Hya;          ;09 51 28.6938;-14 50 47.771; 4.110; 0.925; 0.685; 1.160
          ;  4658    ;09 51 40.6677;-46 32 51.434; 4.580; 1.181; 0.830; 1.460
 30phi UMa;          ;09 52 06.3721;+54 03 51.648; 4.560; 0.046; 0.025; 0.100
 24mu  Leo;          ;09 52 45.8173;+26 00 25.025; 3.880; 1.234; 0.848; 1.490
          ;          ;09 54 12.3192;-25 55 56.440; 4.870; 1.234;      ;
          ; 18300    ;09 54 52.2087;-19 00 33.696; 4.930; 1.551;      ;
   phi Vel;          ;09 56 51.7416;-54 34 04.046; 3.540;-0.095; 0.020;-0.060
 29pi  Leo;  4699    ;10 00 12.8066;+08 02 39.203; 4.670; 1.592; 1.372; 2.510
 40ups2Hya;  4725    ;10 05 07.4700;-13 03 52.654; 4.600;-0.084;-0.047;-0.100
 30eta Leo;  4738    ;10 07 19.9523;+16 45 45.592; 3.520;-0.029; 0.030; 0.110
 21    LMi;  4736    ;10 07 25.7616;+35 14 40.896; 4.490; 0.190; 0.141; 0.250
 31    Leo;          ;10 07 54.2708;+09 59 51.028; 4.370; 1.447; 1.071; 1.880
 15alp Sex;          ;10 07 56.2803;-00 22 17.892; 4.480;-0.028;-0.012; 0.010
 32alp Leo;  4750    ;10 08 22.3107;+11 58 01.945; 1.410;-0.036;-0.069;-0.120
          ;          ;10 08 56.2399;-51 48 40.538; 4.860;-0.130;-0.050;-0.140
 41lam Hya;          ;10 10 35.2775;-12 21 14.699; 3.610; 1.013; 0.717; 1.250
   ome Car;          ;10 13 44.2179;-70 02 16.452; 3.300;-0.070; 0.040; 0.010
          ;          ;10 14 44.1553;-42 07 18.990; 3.840; 0.062; 0.020; 0.040
 36zet Leo;  4804    ;10 16 41.4169;+23 25 02.318; 3.440; 0.318; 0.275; 0.510
          ;V0337 Car ;10 17 04.9758;-61 19 56.295; 3.370; 1.538; 1.080; 1.850
 33lam UMa;          ;10 17 05.7915;+42 54 51.714; 3.440; 0.045; 0.014; 0.070
          ;GZ    Vel ;10 19 36.7501;-55 01 45.497; 4.560; 1.603; 1.070; 1.940
 40    Leo;  4822    ;10 19 44.1679;+19 28 15.291; 4.780; 0.473; 0.380; 0.680
 41gam1Leo;  4823    ;10 19 58.3545;+19 50 29.359; 2.230; 1.203; 0.829; 1.470
 41gam2Leo;  4823    ;10 19 58.6197;+19 50 26.704; 3.470;      ; 0.829;
          ;MV    Vel ;10 20 54.7960;-56 02 35.593; 4.496;-0.118;-0.030;-0.120
          ;  4837    ;10 22 19.5848;-41 38 59.857; 4.820; 1.116; 0.800; 1.380
 34mu  UMa;  4829    ;10 22 19.7406;+41 29 58.259; 3.050; 1.574; 1.259; 2.250
          ;          ;10 22 58.1453;-66 54 05.394; 4.970;-0.121;      ;
          ;ET    UMa ;10 24 07.8463;+65 33 59.123; 4.940;-0.035;-0.028;-0.020
          ;  4856    ;10 24 23.7063;-74 01 53.803; 3.990; 0.362; 0.340; 0.530
 30    LMi;          ;10 25 54.8143;+33 47 46.033; 4.730; 0.263; 0.220; 0.400
 42mu  Hya; 18402    ;10 26 05.4267;-16 50 10.646; 3.820; 1.478; 1.110; 1.940
   alp Ant;  4862    ;10 27 09.1011;-31 04 04.004; 4.270; 1.447; 1.100; 1.890
          ;V0399 Car ;10 27 24.4710;-57 38 19.697; 4.680; 0.474; 0.490; 0.970
          ;  4869    ;10 27 52.7302;-58 44 21.851; 3.830; 0.309; 0.340; 0.580
 31bet LMi;          ;10 27 52.9980;+36 42 25.950; 4.210; 0.906; 0.669; 1.150
          ;          ;10 30 20.1278;-71 59 34.055; 4.720; 0.046; 0.090; 0.110
 36    UMa;          ;10 30 37.5798;+55 58 49.931; 4.830; 0.529; 0.446; 0.760
          ;  4886    ;10 31 02.0595;-73 13 17.365; 4.930; 1.681; 1.290; 2.220
          ;          ;10 31 21.8221;-53 42 55.741; 4.900; 0.491; 0.430; 0.720
          ;PP    Car ;10 32 01.4634;-61 41 07.197; 3.370;-0.094; 0.050;-0.020
 47rho Leo;rho   Leo ;10 32 48.6718;+09 18 23.708; 3.850;-0.153;-0.077;-0.210
          ;          ;10 33 13.8884;+40 25 32.016; 4.730; 0.212; 0.175; 0.290
          ;          ;10 35 05.4807;+75 42 46.612; 4.850; 0.953; 0.685;
   gam Cha;  4913    ;10 35 28.1062;-78 36 28.029; 4.100; 1.583; 1.260; 2.230
          ;  4904    ;10 35 35.2978;-57 33 27.489; 4.440; 1.611; 1.150; 1.990
          ; 18459    ;10 37 13.7245;-27 24 45.483; 4.880; 1.608;      ;
          ;          ;10 37 18.1416;-48 13 32.233; 3.840; 0.305; 0.270; 0.430
          ;U     Hya ;10 37 33.2725;-13 23 04.354; 4.920; 2.709; 1.784; 3.040
   phi3Hya;          ;10 38 34.9530;-16 52 35.659; 4.910; 0.912;      ;
 37    LMi;          ;10 38 43.2127;+31 58 34.455; 4.680; 0.819; 0.606; 1.060
          ;  4922    ;10 38 44.9962;-59 10 58.790; 4.740; 1.630; 1.190; 2.090
          ;          ;10 39 18.3930;-55 36 11.767; 4.280; 1.022; 0.790; 1.260
          ;V0518 Car ;10 42 14.1200;-64 27 59.135; 4.760;-0.132;      ;
   the Car;          ;10 42 57.4013;-64 23 40.020; 2.740;-0.200;-0.110;-0.340
          ;          ;10 43 04.0399;+69 04 34.370; 4.990; 1.402; 1.040; 1.760
          ;V0520 Car ;10 43 32.2896;-60 33 59.830; 4.560; 1.693; 1.310; 2.300
          ; 18499    ;10 44 06.9145;-63 57 39.858; 4.800;-0.132;-0.020;-0.150
   del2Cha;          ;10 45 47.0033;-80 32 24.676; 4.450;-0.178;-0.080;-0.280
   mu  Vel;          ;10 46 46.1782;-49 25 12.919; 2.720; 0.925; 0.680; 1.170
          ; 18529    ;10 46 51.2191;-64 23 00.508; 4.850;-0.144;-0.060;-0.240
   nu  Hya;          ;10 49 37.4884;-16 11 37.134; 3.110; 1.250; 0.940; 1.580
 46    LMi;  4999    ;10 53 18.7051;+34 12 53.536; 3.790; 1.052; 0.768; 1.370
          ;  5011    ;10 53 29.6562;-58 51 11.415; 3.790; 0.933; 0.720; 1.210
 45ome UMa;          ;10 53 58.7418;+43 11 23.842; 4.670;-0.027;-0.029; 0.010
 54    Leo;          ;10 55 36.7976;+24 44 58.986; 4.470; 0.008; 0.008; 0.090
   iot Ant;          ;10 56 43.0512;-37 08 15.956; 4.600; 1.014; 0.750; 1.280
  7alp Crt;          ;10 59 46.4647;-18 17 55.620; 4.080; 1.091; 0.800; 1.350
          ;          ;11 00 09.2640;-42 13 33.091; 4.380; 0.115; 0.130; 0.200
 58    Leo;          ;11 00 33.6486;+03 37 02.979; 4.850; 1.158; 0.838; 1.390
 61    Leo;  5059    ;11 01 49.6745;-02 29 04.505; 4.720; 1.601; 1.277; 2.290
 48bet UMa;  5053    ;11 01 50.4768;+56 22 56.736; 2.350; 0.029;-0.017; 0.020
 60    Leo; 18592    ;11 02 19.7752;+20 10 47.431; 4.410; 0.058; 0.014; 0.040
 50alp UMa;  5070    ;11 03 43.6687;+61 45 03.720; 1.820; 1.064; 0.768; 1.390
 63chi Leo;  5079    ;11 05 01.0273;+07 20 09.626; 4.620; 0.342; 0.280; 0.500
   chi1Hya;          ;11 05 19.9074;-27 17 37.004; 4.930; 0.380;      ;
          ;          ;11 06 32.4279;-62 25 26.808; 4.610; 1.014; 0.750; 1.200
